ID,ProbePoint,Condition,Burst1Panning,Burst1FreqContent,Burst2Panning,Burst2FreqContent,azi,ele,channel,up_ch,down_ch,catch_ele_diff,FirstBurstPresented,MovementDir,BlockNum,Burst1_cue_idx,Burst2_cue_idx,Response,ReactionTime
X,R4,2,nearest,wide,nearest,wide,-31.72,0,15,54,86,93.99,2,0,BN,17,10,down,0.8387093544006348
X,R8,1,nearest,low,nearest,low,-90,0.03,13,52,85,78.86,2,0,BN,15,3,down,0.9468469619750977
X,L8,1,nearest,low,nearest,low,90,0.46,5,46,79,79.63,2,0,BN,15,2,up,1.4875638484954834
X,L4,3,nearest,low,ambi,low,31.72,0,3,44,78,93.99,1,0,BN,9,14,down,0.8193330764770508
X,C,4,nearest,wide,ambi,wide,0,0.03,1,23,76,61.02,1,0,BN,9,19,down,0.7915046215057373
X,R8,1,nearest,low,nearest,low,-90,0.03,13,52,85,78.86,1,0,BN,10,18,down,0.6985344886779785
X,R4,catch,nearest,low,nearest,low,-31.72,0,15,54,86,93.99,2,up,BN,18,8,up,0.7435479164123535
X,R8,1,nearest,low,nearest,low,-90,0.03,13,52,85,78.86,1,0,BN,1,19,down,1.0139915943145752
X,L4,catch,nearest,low,nearest,low,31.72,0,3,44,78,93.99,2,up,BN,13,8,up,1.5215024948120117
X,R6,2,nearest,wide,nearest,wide,-69.09,0,14,53,91,93.78,2,0,BN,19,7,down,1.105916976928711
X,L4,4,nearest,wide,ambi,wide,31.72,0,3,44,78,93.99,1,0,BN,1,11,down,0.6482665538787842
X,L8,catch,nearest,low,nearest,low,90,0.46,5,46,79,79.63,1,down,BN,9,16,down,0.729102612
X,R8,2,nearest,wide,nearest,wide,-90,0.03,13,52,85,78.86,1,0,BN,3,13,down,0.7412958145141602
X,R8,2,nearest,wide,nearest,wide,-90,0.03,13,52,85,78.86,1,0,BN,6,20,up,1.144266128540039
X,R4,2,nearest,wide,nearest,wide,-31.72,0,15,54,86,93.99,1,0,BN,8,12,up,1.1422109603881836
X,R8,4,nearest,wide,ambi,wide,-90,0.03,13,52,85,78.86,1,0,BN,4,19,up,0.6960659027099609
X,R6,catch,nearest,low,nearest,low,-69.09,0,14,53,91,93.78,2,up,BN,15,10,up,0.6835172176361084
X,L4,2,nearest,wide,nearest,wide,31.72,0,3,44,78,93.99,1,0,BN,5,15,down,0.8045380115509033
X,L8,4,nearest,wide,ambi,wide,90,0.46,5,46,79,79.63,2,0,BN,20,5,up,0.677187443
X,R6,4,nearest,wide,ambi,wide,-69.09,0,14,53,91,93.78,1,0,BN,1,13,down,0.72907424
X,R6,1,nearest,low,nearest,low,-69.09,0,14,53,91,93.78,2,0,BN,16,10,up,0.7459042072296143
X,R8,3,nearest,low,ambi,low,-90,0.03,13,52,85,78.86,2,0,BN,15,8,up,0.7129912376403809
X,R4,2,nearest,wide,nearest,wide,-31.72,0,15,54,86,93.99,1,0,BN,4,20,down,0.8510575294494629
X,C,1,nearest,low,nearest,low,0,0.03,1,23,76,61.02,1,0,BN,5,17,down,0.8403103351593018
X,L8,catch,nearest,low,nearest,low,90,0.46,5,46,79,79.63,1,down,BN,10,17,down,0.8379344940185547
X,L4,1,nearest,low,nearest,low,31.72,0,3,44,78,93.99,1,0,BN,7,14,down,0.6651797294616699
X,R6,2,nearest,wide,nearest,wide,-69.09,0,14,53,91,93.78,2,0,BN,18,4,down,0.8686845302581787
X,R4,3,nearest,low,ambi,low,-31.72,0,15,54,86,93.99,1,0,BN,5,13,down,0.7141203880310059
X,R6,3,nearest,low,ambi,low,-69.09,0,14,53,91,93.78,2,0,BN,15,1,down,0.9494588375091553
X,R6,4,nearest,wide,ambi,wide,-69.09,0,14,53,91,93.78,2,0,BN,17,7,down,0.7448821067810059
X,L4,4,nearest,wide,ambi,wide,31.72,0,3,44,78,93.99,2,0,BN,11,2,up,0.7748355865478516
X,R4,1,nearest,low,nearest,low,-31.72,0,15,54,86,93.99,2,0,BN,14,3,down,0.8885297775268555
X,C,4,nearest,wide,ambi,wide,0,0.03,1,23,76,61.02,2,0,BN,11,9,up,0.8386306762695312
X,C,1,nearest,low,nearest,low,0,0.03,1,23,76,61.02,1,0,BN,7,20,up,1.474811315536499
X,L6,catch,nearest,low,nearest,low,69.09,0,4,45,88,93.78,1,down,BN,7,16,down,0.8097107410430908
